sequence,part,module,exercise,activity,block_type,content_type,input_type,tool_id,connection_id,content
255,1,3,2,0,content,instruction,,,,"Flow is often achieved when someone is pushed to their extreme limits after preparation. These are times when all of our skills and expertise are called upon, we shut out everything except the task at hand, and we execute on a very high level. Symptoms of flow include time distortion, being oblivious to anything other than the task, euphoria, extreme productivity, creative ease, and a sense of singular focus."
256,1,3,2,0,content,heading,,,,Understanding the Flow Tracking System⁹
257,1,3,2,0,content,instruction,,,,Separate flow into **focus** and **energy** for the purpose of tracking during this activity.
258,1,3,2,0,content,instruction,,,,- Think of **focus** as being the scale between boring and captivating.
259,1,3,2,0,content,instruction,,,,- Think of **energy** as being the scale between draining and energizing.
260,1,3,2,0,content,instruction,,,,"**When you are fully engaged and completely energized by a task, you are experiencing flow.**"
261,1,3,2,0,content,instruction,,,,"**Example:** Stacy is a journalist who reported a huge corruption case. While doing the background research was a bit draining, she remembers being extremely focused. Then one day everything came together and she knew it was big. She can't quite say how she connected the dots—the memory is a bit blurry—but everything lined up for her as if she already knew all the answers; that was flow."
262,1,3,2,1,content,heading,,,,Activity 1.3.2a: Memorable Past Flow Analysis
263,1,3,2,1,content,instruction,,,C014,Draw from your experiences documented in Module 1.1.
264,1,3,2,1,content,instruction,,,,"The most significant events, when you experienced flow, deserve more attention."
265,1,3,2,1,tool,,,flow_tracker,C014,Rate your memorable past events for energy and focus.
266,1,3,2,1,prompt,,textarea,,,"Is there any activity, task, or skill which you find both highly energizing and highly captivating?"
267,1,3,2,2,content,heading,,,,Activity 1.3.2b: Recent Past Flow Tracking
268,1,3,2,2,content,instruction,,,,"Recall the past 3-10 days. (The more you track, the stronger the tool will be.)"
269,1,3,2,2,tool,,,flow_tracker,,Record significant activities from the past 3-10 days.
270,1,3,2,2,prompt,,textarea,,,Are there any activities which you find both highly energizing and highly captivating?
271,1,3,2,3,content,heading,,,,Activity 1.3.2c: Present Flow Tracking (Ongoing)
272,1,3,2,3,content,instruction,,,,**Repeat this process at the end of each day. Continue until Part 3 is complete.**
273,1,3,2,3,tool,,,flow_tracker,,Track today's significant activities.
274,1,3,2,3,prompt,,textarea,,,Are there any activities which you find both highly energizing and highly captivating?
275,1,3,2,0,content,heading,,,,Module 1.3 Footnotes
276,1,3,2,0,content,note,,,,"8. Csikszentmihalyi, Mihaly. *Flow: The Psychology of Optimal Experience.* New York: Harper & Row, 1990."
277,1,3,2,0,content,note,,,,"9. Flow Tracking Methodology is an original tool created by Braedon Long for this program, adapted from Csikszentmihalyi's flow theory."
278,1,3,2,0,content,instruction,,,,**Module 1.3 Complete**<br>Next: Module 1.4 - Love
279,1,4,0,0,content,heading,,,,Module 1.4: Love
280,1,4,0,0,content,heading,,,,Module Overview
281,1,4,0,0,content,instruction,,,,"**Focus:** Relationships, meaning, and what you care about<br>**Purpose:** Reflect on family, community, world, and self to understand what drives you and shapes your values<br>**Estimated Time:** 1-1.5 hours<br>**Privacy Note:** Answers in this module are encrypted; only you can access them"
282,1,4,0,0,content,instruction,,,,**Outputs:**
283,1,4,0,0,content,instruction,,,,- Family impact summary
284,1,4,0,0,content,instruction,,,,- Community profile
285,1,4,0,0,content,instruction,,,,- World values statement
286,1,4,0,0,content,instruction,,,,- Self-understanding summary
287,1,4,0,0,content,heading,,,,Introduction
288,1,4,0,0,content,instruction,,,,The focus of this module is love. All people have a sense of what love is. You might be more comfortable considering the things and people you care about.
289,1,4,0,0,content,instruction,,,,"Love can be a tricky topic to talk about. Love manifests in each person's life in a different way. You might have intensely positive, intensely negative, or completely neutral experiences in each of the categories below. The purpose of this activity is not to dictate right from wrong, but to reflect and understand."
290,1,4,0,0,content,instruction,,,,"Many programs focus on the idea of passion. Passion is simply one of the many paths into flow. Passion is also pretty ambiguous; only about 1 in 4 people know their passion. For our purposes, we will focus on what we love and care about as a window into what might bring us the most fulfillment in the future."
291,1,4,0,0,content,note,,,,**There are no wrong answers here—these questions are for you and you only.** Your answers in this module are encrypted so that only you can access them.
292,1,4,0,0,content,instruction,,,,"**Answer every question.** The process works if you work it. This section is no less important than any other section. Seriously reflect on each of these, and record vivid details. Consider telling your stories using the SOARED framework so that you don't miss any important details."
293,1,4,1,0,content,heading,,,,Exercise 1.4.1: Family Reflection
294,1,4,1,0,content,instruction,,,,**Purpose:** Understand how family relationships have shaped who you are and what you need.
295,1,4,1,1,content,heading,,,,Activity 1.4.1a: Childhood Stories
296,1,4,1,1,prompt,,textarea,,,What stories from your childhood have helped shape who you are today?
297,1,4,1,2,content,heading,,,,Activity 1.4.1b: Family Relationships Impact
298,1,4,1,2,prompt,,textarea,,,What family relationships have had particularly significant impacts upon your beliefs?
299,1,4,1,3,content,heading,,,,Activity 1.4.1c: Caregiving Considerations
300,1,4,1,3,prompt,,textarea,,,Do you have any elderly family members you care for or support? How does this shape your needs?
301,1,4,1,3,prompt,,textarea,,,Do you have any children you care for or support? How does this shape your needs?
302,1,4,1,4,content,heading,,,,Activity 1.4.1d: Family Inspiration & Lessons
303,1,4,1,4,prompt,,textarea,,,"Do you have any family members or stories which inspire you? If so, give details."
304,1,4,1,4,prompt,,textarea,,,What are the most significant lessons your family has taught you?
305,1,4,2,0,content,heading,,,,Exercise 1.4.2: Community Connection
306,1,4,2,0,content,instruction,,,,**Purpose:** Identify the groups you belong to and understand their importance to you.
307,1,4,2,1,content,heading,,,,Activity 1.4.2a: Group Identification
308,1,4,2,1,prompt,,textarea,,,"What group, or groups, do you identify with?"
309,1,4,2,1,prompt,,textarea,,,"Are you involved in any organizations, religious groups, neighborhood associations, group of friends, gaming club, or other regularly organized social events?"
310,1,4,2,2,content,heading,,,,Activity 1.4.2b: Community Involvement Analysis
311,1,4,2,2,prompt,,textarea,,,Why are you involved in those groups?
312,1,4,2,3,content,heading,,,,Activity 1.4.2c: Community Goals
313,1,4,2,3,prompt,,textarea,,,Do you have any personal goals concerning your community?
314,1,4,2,3,prompt,,textarea,,,Is there anything that might cause you to leave your community?
315,1,4,3,0,content,heading,,,,Exercise 1.4.3: World Perspective
316,1,4,3,0,content,instruction,,,,**Purpose:** Explore your views on global issues and your place in the broader world.
317,1,4,3,1,content,heading,,,,Activity 1.4.3a: Global Issues Identification
318,1,4,3,1,prompt,,textarea,,,Are there any worldly issues that are important to you? What are they?
319,1,4,3,2,content,heading,,,,Activity 1.4.3b: Historical Lessons
320,1,4,3,2,prompt,,textarea,,,What are some lessons people should learn from history?
321,1,4,3,2,prompt,,textarea,,,Are there any worldly problems which you feel the need to help solve?
322,1,4,3,3,content,heading,,,,Activity 1.4.3c: Cultural Learning
323,1,4,3,3,prompt,,textarea,,,Have you ever traveled outside of your country? Your continent?
324,1,4,3,3,prompt,,textarea,,,What have you learned from other cultures of the world?
325,1,4,3,4,content,heading,,,,Activity 1.4.3d: Future Visioning
326,1,4,3,4,prompt,,textarea,,,What do you think the world will look like in 10 years?
327,1,4,3,4,prompt,,textarea,,,What do you think the world will look like in 50 years?
328,1,4,3,4,prompt,,textarea,,,What do you think the world will look like in 100 years?
329,1,4,4,0,content,heading,,,,Exercise 1.4.4: Self-Understanding
330,1,4,4,0,content,instruction,,,,**Purpose:** Develop deeper self-awareness through honest reflection.
331,1,4,4,1,content,heading,,,,Activity 1.4.4a: Self-Critique
332,1,4,4,1,prompt,,textarea,,,They say that you are your own hardest critic. Critique yourself. What can you do better?
333,1,4,4,2,content,heading,,,,Activity 1.4.4b: Strengths Recognition
334,1,4,4,2,prompt,,textarea,,,What are your strengths?
335,1,4,4,3,content,heading,,,,Activity 1.4.4c: Core Identity
336,1,4,4,3,prompt,,textarea,,,"Do you have an idea or memory which makes you feel most like yourself? If so, describe it."
337,1,4,4,3,prompt,,textarea,,,What do you love about yourself?
338,1,4,4,4,content,heading,,,,Activity 1.4.4d: Major Life Events
339,1,4,4,4,prompt,,textarea,,,What major life events have shaped you? Briefly describe them.
340,1,4,4,5,content,heading,,,,Activity 1.4.4e: Greatest Gift & Commitment
341,1,4,4,5,prompt,,textarea,,,What is your greatest gift?
342,1,4,4,5,prompt,,textarea,,,Are you willing to do what needs to be done?
343,1,4,4,0,content,heading,,,,Module 1.4 Footnotes
344,1,4,4,0,content,note,,,,"10. Seligman, Martin E.P. *Flourish: A Visionary New Understanding of Happiness and Well-being.* New York: Free Press, 2011."
345,1,4,4,0,content,instruction,,,,**Module 1.4 Complete**<br>Next: Module 1.5 - Health
346,1,5,0,0,content,heading,,,,Module 1.5: Health
347,1,5,0,0,content,heading,,,,Module Overview
348,1,5,0,0,content,instruction,,,,"**Focus:** Mental health, discipline, and daily practice<br>**Purpose:** Develop mental fortitude through skill sharpening, grit development, mindfulness, and routine establishment<br>**Estimated Time:** 1.5 hours initial + ongoing daily practices<br>**Key Tools:** Routine Tracker"
349,1,5,0,0,content,instruction,,,,**Ongoing Practices:**
350,1,5,0,0,content,instruction,,,,- Daily skill sharpening (15+ minutes)
351,1,5,0,0,content,instruction,,,,- Daily mindfulness (5-20 minutes)
352,1,5,0,0,content,instruction,,,,- Daily routine tracking
353,1,5,0,0,content,instruction,,,,**Outputs:**
354,1,5,0,0,content,instruction,,,,- Skill sharpening commitment
355,1,5,0,0,content,instruction,,,,- Accountability plan
356,1,5,0,0,content,instruction,,,,- Mindfulness routine
357,1,5,0,0,content,instruction,,,,- Daily routine schedule
358,1,5,0,0,content,heading,,,,Introduction
359,1,5,0,0,content,instruction,,,,"We will focus on mental health. Physical and spiritual health are both important, but it is best for you to find answers to questions you may have about those topics from another source. People from all walks of life can benefit from mental health practices."
360,1,5,0,0,content,instruction,,,,"I am going to address three aspects of mental health: **achievement**, **fortitude**, and **emotional intelligence**."
361,1,5,0,0,content,instruction,,,,"In all three, the lesson is discipline and practice. The goal is not perfection. The goal is active practice."
362,1,5,0,0,content,instruction,,,,"Bill Burnett describes five mindsets which are imperative to our cause: **curiosity, bias to action, reframing, awareness, and radical collaboration**.¹ Mastering these mindsets and living them will lead you to opportunity."
363,1,5,1,0,content,heading,,,,Exercise 1.5.1: Skill Sharpening Practice
364,1,5,1,0,content,instruction,,,,**Purpose:** Commit to daily improvement of a skill that sets you apart.
365,1,5,1,0,content,instruction,,,,"Achievement is characterized by the things that we can do—otherwise known as our skills. In previous modules, we described our skills, our mastery over them, whether they give or take energy from us, and how captivated we are by them."
366,1,5,1,0,content,instruction,,,,"Whether it is for our own pleasure, to further our working cause, or to give us a competitive edge, it is crucial to be a student of life, for life. Everybody should always be improving themselves in one way or another."
367,1,5,1,0,content,instruction,,,,"The post-industrial economy is based on specialization. Pick a transferable skill or a knowledge which sets you apart from others—an expertise. If you do not have one, it is your duty to make one of your skills an expertise."
368,1,5,1,0,content,instruction,,,,**You will want to start as soon as possible. Today is best; right now is even better.**
369,1,5,1,1,content,heading,,,,Activity 1.5.1a: Skill Selection
370,1,5,1,1,content,instruction,,,C018,Use your top skills from Exercise 1.1.1e and flow activities from Exercise 1.3.2.
371,1,5,1,1,prompt,,text,,,Selected skill:
372,1,5,1,2,content,heading,,,,Activity 1.5.1b: Daily Practice Commitment (Ongoing)
373,1,5,1,2,content,instruction,,,,Dedicate at least 15 minutes of singular focus to improving that skill every single day. Practice the skill every single day. Don't stop.
374,1,5,1,2,content,instruction,,,,"If you grow tired of practicing this skill, reach a level of mastery, or otherwise need a change, choose another skill and repeat the process. This is the never-ending task of self-betterment."
375,1,5,2,0,content,heading,,,,Exercise 1.5.2: Grit Development
376,1,5,2,0,content,instruction,,,,**Purpose:** Develop mental fortitude and personal accountability.
377,1,5,2,0,content,instruction,,,,"Grit describes the mental fortitude to work tirelessly for rewards which are either abstract or far removed, often both.¹¹ I am a proponent of working smarter, not harder, but there is no replacement for diligence, perseverance, and drive. You absolutely must take yourself seriously."
378,1,5,2,0,content,heading,,,,Take Yourself Seriously
379,1,5,2,0,content,instruction,,,,"On April 1st, 2016, I woke up at 3 pm. I had slept through two strategy meetings, an interview, training, and was supposed to be getting ready to go out knocking doors for the next 5 hours. I called my campaign director; she was furious, but more, she was sad."
380,1,5,2,0,content,instruction,,,,"Four months ago she had put her name on the line to bring me in to direct a field canvass that had, until that point, no direction and no hope. Enthusiastic and passionate, I left everything else behind to join her. We had been working 60+ hours each week to get going and had finally started to gain some momentum."
381,1,5,2,0,content,instruction,,,,"Tuesday, March 31st, we went to dinner and then to a local bar to watch some music. Long after my co-worker went home, I was the last patron in the bar, finishing something past my 20th drink, around 4 am. I had promised to be at work by 8:30."
382,1,5,2,0,content,instruction,,,,I woke up in severe pain which had become all too common. I couldn't open my eyes. An attempt to stand was met with icy hot needles in my brain; I collapsed.
383,1,5,2,0,content,instruction,,,,"I remembered the promises I had made: to my co-workers, to my employees, to the people who depended on me. I remembered the times I had been sent to the hospital for alcohol poisoning, and all the promises I had made to my Mother. I called my boss and told her I wasn't going to make it to work that day."
384,1,5,2,0,content,instruction,,,,"That is when I realized that nothing I said mattered. Every promise I had made, I was breaking it. Here I was, doing what I wanted to do, and throwing it all away."
385,1,5,2,0,content,instruction,,,,"When I finally pulled my face off the floor and crawled to the sink, I knew I had to do something I hadn't ever done before. I stared myself in the eyes, unsure of what would happen next. That's when I knew. **I had to take myself seriously.**"
386,1,5,2,0,content,instruction,,,,"I had dreams, ambitions, goals, and more. Yet so far, I had let those sit idly by. No more. I told myself I would never drink again. I made a promise to myself which I live by to this day. I promised accountability. Whatever challenge should come, I vowed to face it. I vowed to overcome."
387,1,5,2,0,content,instruction,,,,"Since that day, my entire life has changed. I have been and am sober. I quit smoking. I revolutionized my diet. I started working out regularly. I fell in love. I moved to another continent. I started a business. **I take myself seriously.**"
388,1,5,2,0,content,instruction,,,,"Overcoming addiction, changing your life, creating your story, standing up for yourself, surmounting your fears—no matter what you plan on doing next, **TAKE YOURSELF SERIOUSLY**. Every day. Never stop. This is grit. Daily sacrifice for long-term gain."
389,1,5,2,0,content,instruction,,,,Look yourself in the mirror and hold yourself accountable. Every single day. No one else can tell you what you need to do. No one else can do the things you need to do. It's up to you to give yourself permission to live a more fulfilled life.
390,1,5,2,0,content,instruction,,,,**Do the things you know you need to do.** Be relentless.
391,1,5,2,1,content,heading,,,,Activity 1.5.2a: Role Model Identification
392,1,5,2,1,prompt,,textarea,,,Who do you look up to? Who is your role model? Why?
393,1,5,2,1,prompt,,textarea,,,What about that person (those people) do you admire? What characteristics do they have that you don't?
394,1,5,2,2,content,heading,,,,Activity 1.5.2b: Habit Assessment
395,1,5,2,2,prompt,,textarea,,,What are the bad habits you need to quit?
396,1,5,2,2,prompt,,textarea,,,What are the good habits you need to start?
397,1,5,2,3,content,heading,,,,Activity 1.5.2c: Promise Keeping
398,1,5,2,3,prompt,,textarea,,,What promises do you need to keep? To yourself? To those you care about?
399,1,5,2,3,prompt,,textarea,,,What has stopped you from keeping those promises?
400,1,5,2,4,content,heading,,,,Activity 1.5.2d: Accountability Practice
401,1,5,2,4,content,instruction,,,,"Choose an order to accomplish these. If you need, start with the easy ones and work up. No matter what, choose one to complete as soon as you possibly can. Start building active trust in yourself."
402,1,5,2,4,content,instruction,,,,"Forgive yourself when you mess up. If you fall off the horse, focus on getting back on the horse, not on the fact that you fell off. Forgive. Take yourself seriously—if you don't, who will? Next."
403,1,5,3,0,content,heading,,,,Exercise 1.5.3: Mindfulness Practice
404,1,5,3,0,content,instruction,,,,**Purpose:** Develop mental discipline through daily mindfulness practice.
405,1,5,3,0,content,instruction,,,,Mindfulness is rooted in the eastern practice of meditation. We're not asking you to chant mantras or do yoga unless that is what you want to do. This is about discipline for your mind. Silencing your mind is difficult.
406,1,5,3,0,content,instruction,,,,Try thinking about nothing for the next 2 minutes...
407,1,5,3,0,content,instruction,,,,Too hard? How about only thinking about your breath for the next 2 minutes...
408,1,5,3,0,content,instruction,,,,How did you do? Did your mind wander? It is okay if it did. The important thing is practicing the act of coming back to silence. Practice batting down thoughts and distractions.
409,1,5,3,0,content,instruction,,,,"Your brain is just like every other muscle; the parts you exercise get stronger. Mindfulness uses emotional intelligence. Training your brain to focus, to stay calm, and to shut out distractions will improve your soft skills, make you more able to communicate with others, improve your mental energy, and make you generally grittier."
410,1,5,3,1,content,heading,,,,Activity 1.5.3a: Daily Mindfulness Setup
411,1,5,3,1,content,instruction,,,,Spend between 5 and 20 minutes a day practicing mindfulness. Focus on your breath. Push out all distractions. Silence your inner voice for a period each and every day.
412,1,5,3,1,prompt,,text,,,Time of day:
413,1,5,3,1,prompt,,text,,,Duration:
414,1,5,3,1,prompt,,text,,,Location:
415,1,5,4,0,content,heading,,,,Exercise 1.5.4: Routine Establishment
416,1,5,4,0,content,instruction,,,,**Purpose:** Create an intentional daily routine that incorporates all your new practices.
417,1,5,4,0,content,instruction,,,,"Routine is the final point of this module. A routine is the manifestation of discipline. Whether you realize it or not, you have a routine. Humans are creatures of habit, and that will never change."
418,1,5,4,0,content,instruction,,,,My task for you is to consider your routine intentionally. Do you wander through your day from one thing to the next? Or is there a method to your day?
419,1,5,4,0,content,instruction,,,,"Either way, this part has given you at least three tasks which demand your attention every day:"
420,1,5,4,0,content,instruction,,,C020,Reference your flow tracking practice from Exercise 1.3.2c.
421,1,5,4,0,content,instruction,,,C021,Reference your skill sharpening practice from Exercise 1.5.1b.
422,1,5,4,0,content,instruction,,,C022,Reference your mindfulness practice from Exercise 1.5.3a.
423,1,5,4,0,content,instruction,,,,"Finally, remember the five mindsets every day:¹"
424,1,5,4,0,content,instruction,,,,- **Curiosity**<br>- **Bias to action**<br>- **Reframing**<br>- **Awareness**<br>- **Radical collaboration**
425,1,5,4,1,content,heading,,,,Activity 1.5.4a: Routine Design
426,1,5,4,1,content,instruction,,,,"We try to keep you on track with the Daily Dos. It takes about five weeks to break old habits and build new ones. If you start now, exercising your brain will become a part of your daily routine before you finish the program."
427,1,5,4,1,content,instruction,,,,Design your daily routine:
428,1,5,4,1,prompt,,textarea,,,Morning:
429,1,5,4,1,prompt,,textarea,,,Midday:
430,1,5,4,1,prompt,,textarea,,,Evening:
431,1,5,4,0,content,heading,,,,Module 1.5 Footnotes
432,1,5,4,0,content,note,,,,"1. Burnett, Bill, and Dave Evans. *Designing Your Life.* The five designer mindsets (curiosity, bias to action, reframing, awareness, radical collaboration) provide the mental framework for approaching career design."
433,1,5,4,0,content,note,,,,"11. Duckworth, Angela. *Grit: The Power of Passion and Perseverance.* New York: Scribner, 2016."
434,1,5,4,0,content,note,,,,"12. Grover, Tim S. *Relentless: From Good to Great to Unstoppable.* New York: Scribner, 2013."
435,1,5,4,0,content,instruction,,,,**Module 1.5 Complete**<br>**Part 1: Roots Complete**
436,1,5,0,0,content,heading,,,,Part 1 Summary: Ongoing Practices
437,1,5,0,0,content,instruction,,,,"As you move into Part 2, continue these daily practices:"
438,1,5,0,0,content,instruction,,,,| Practice | Source | Daily Time | Purpose |<br>|----------|--------|------------|---------|<br>| Flow Tracking | Exercise 1.3.2c | 5 min | Identify engaging activities |<br>| Skill Sharpening | Exercise 1.5.1b | 15+ min | Build expertise |<br>| Mindfulness | Exercise 1.5.3a | 5-20 min | Develop mental discipline |<br>| Routine Tracking | Exercise 1.5.4a | 5 min | Maintain accountability |
439,2,0,0,0,content,heading,,,,Part 2: Trunk
440,2,0,0,0,content,heading,,,,Connecting Your Past to Your Future
441,2,0,0,0,content,heading,,,,Overview
442,2,0,0,0,content,instruction,,,,"Now that you have taken stock of your literal makeup and background, it is time to take a higher level view of who you are, how you are doing, and where your life is going. If you are unsure about the path ahead, that is okay. If you are confident you know where your path leads, that is okay too. Go through each exercise with an open mind."
443,2,0,0,0,content,instruction,,,,"The trunk of our tree represents the present. This is where your past meets your future. In many respects, the present is the only thing that genuinely exists. Everything else is an interpretation. Your mission is to interpret your situation to your benefit and steer towards your best possible future."
444,2,0,0,0,content,instruction,,,,"There is no possible way to know every effect of each and every choice we make. Therefore, it is impossible to make the best decision in every instance. So, we gather as much information as is needed, and then we make a choice. Bias to action.¹"
445,2,0,0,0,content,instruction,,,,"Approach this part with an open mind. A lot of this will be brainstorming. When brainstorming, defer to quantity over quality. We, as people, have all sorts of social filters which hinder most people from thinking creatively. Your job is to ignore anything that tells you something is a bad idea and write it down anyway."
446,2,0,0,0,content,instruction,,,,"There will be a time and a place for evaluation, but first, you need to generate as many ideas as possible. While the most outlandish ideas don't always seem useful, they open the door for creativity and can often lead to innovation. Remember, many of the most incredible discoveries were made by accident—open yourself up to those accidents."
447,2,0,0,0,content,note,,,,"**Important:** This works best with a small group of people who know you but do not think they know what you need to do for your next step in life. 2-3 other people works best, but even one will help tremendously."
448,2,1,0,0,content,heading,,,,Module 2.1: Finding The Light
449,2,1,0,0,content,heading,,,,Module Overview
450,2,1,0,0,content,instruction,,,,"**Focus:** Current life assessment and values clarification<br>**Purpose:** Evaluate your current state across all life areas and identify your guiding values—the ""light"" that will direct your career decisions<br>**Estimated Time:** 1.5-2 hours<br>**Key Concepts:** Four life categories, work values, life values, alignment"
451,2,1,0,0,content,instruction,,,,**Outputs:**
452,2,1,0,0,content,instruction,,,,"- Life dashboard (ratings for work, play, love, health)"
453,2,1,0,0,content,instruction,,,,- Work values statement
454,2,1,0,0,content,instruction,,,,- Life values statement
455,2,1,0,0,content,instruction,,,,- Value compass (alignment analysis)
456,2,1,0,0,content,heading,,,,Introduction
457,2,1,0,0,content,instruction,,,,Every plant grows towards the light. The light is nourishing for trees.
458,2,1,0,0,content,instruction,,,,"You, too, must reach towards your light. Once you identify what your light is, it will guide you through your decision-making process. Anytime you have a decision to make, your light will tell you which way to go—grow towards the light. So, what is your light? What is nourishing for you?"
459,2,1,1,0,content,heading,,,,Exercise 2.1.1: Life Assessment
460,2,1,1,0,content,instruction,,,,**Purpose:** Evaluate your current satisfaction across all four life categories.
461,2,1,1,0,content,instruction,,,C023,"Building on Part 1, you are going to write a brief summary of each of the four main parts of your life. You will then evaluate each part out of ten."
462,2,1,1,1,content,heading,,,,Activity 2.1.1a: Life Dashboard
463,2,1,1,1,tool,,,life_dashboard,C023,Rate each life area from 1-10 and write a brief summary.
464,2,1,1,1,prompt,,textarea,,,"Overall, how are you?"
465,2,1,2,0,content,heading,,,,Exercise 2.1.2: Values Exploration
466,2,1,2,0,content,instruction,,,,**Purpose:** Articulate your work values and life values to identify your guiding compass.
467,2,1,2,0,content,instruction,,,,It is time to identify your light and begin to understand the compass that will guide you into the future.
468,2,1,2,0,content,instruction,,,,"There are two main values to consider: your **work values** and your **life values**. Values are not a description of what you want or what you are seeking. This is philosophical. Reflect on the deeper meaning. There are no wrong answers, except for blank answers."
469,2,1,2,1,content,heading,,,,Activity 2.1.2a: Work Values
470,2,1,2,1,content,instruction,,,,**Work**
471,2,1,2,1,prompt,,textarea,,,What does work mean to you?
472,2,1,2,1,prompt,,textarea,,,Why do you work?
473,2,1,2,1,prompt,,textarea,,,Why do other people work?
474,2,1,2,1,prompt,,textarea,,,What is the purpose of people working?
475,2,1,2,1,prompt,,textarea,,,"Other than money, what is gained from work?"
476,2,1,2,1,prompt,,textarea,,,"Are honor, growth, or fulfillment essential to work? Explain."
477,2,1,2,1,prompt,,textarea,,,What work would you do if all your needs were guaranteed?
478,2,1,2,2,content,heading,,,,Activity 2.1.2b: Life Values
479,2,1,2,2,content,instruction,,,,**Life**
480,2,1,2,2,prompt,,textarea,,,Is there a meaning of life? Give details.
481,2,1,2,2,prompt,,textarea,,,What is the meaning of your life?
482,2,1,2,2,prompt,,textarea,,,Why do we exist?
483,2,1,2,2,prompt,,textarea,,,What is good?
484,2,1,2,2,prompt,,textarea,,,What is evil?
485,2,1,2,2,prompt,,textarea,,,What is happiness?
486,2,1,2,2,prompt,,textarea,,,Is there a higher being?
487,2,1,2,2,prompt,,textarea,,,Why do we experience pain and suffering?
488,2,1,2,2,prompt,,textarea,,,"Is there some deeper meaning, mission, or purpose to life?"
489,2,1,2,2,prompt,,textarea,,,What injustices are there in the world?
490,2,1,3,0,content,heading,,,,Exercise 2.1.3: Values Alignment
491,2,1,3,0,content,instruction,,,,**Purpose:** Find the intersection of your work and life values—your compass.
492,2,1,3,0,content,instruction,,,,"The most fulfilling lives grow from the place where life views and work views overlap.¹,² In other words, if your work values complement your life values, your life will have more value."
493,2,1,3,1,content,heading,,,,Activity 2.1.3a: Alignment Analysis
494,2,1,3,1,prompt,,textarea,,,Where do your two value systems support each other?
495,2,1,3,1,prompt,,textarea,,,Where do they disagree?
496,2,1,3,1,prompt,,textarea,,,Is one more important to you than the other? Which one? Why?
497,2,1,3,1,prompt,,textarea,,,"In your own words, explain how your work values and your life values work together."
498,2,1,3,2,content,heading,,,,Activity 2.1.3b: Value Compass Definition
499,2,1,3,2,content,instruction,,,,"You spend a tremendous amount of your life working. The more closely your work supports your values, the more rewarding your life will be. **The overlap between your work values and your life values is where your light shines the brightest.** The closer your work—the way you spend your productive time—complements your values, the more rewarding your life will be."
500,2,1,3,2,content,instruction,,,,"If you are unclear on what you value, talk to people who know you well, or research your idols' values and compare your values to their values. This alignment is the light you are using to guide the next steps in your life—be diligent."
501,2,1,3,2,content,instruction,,,,"If you find yourself stuck, practice free writing several potential answers to the questions. Then, choose which solution is best for you or combine them to create another."
502,2,1,3,2,prompt,,textarea,,,**My Value Compass:** Write a brief statement that captures the overlap between your work values and life values—this is your guiding light for career decisions.
503,2,1,3,0,content,heading,,,,Module 2.1 Footnotes
504,2,1,3,0,content,note,,,,"1. Burnett, Bill, and Dave Evans. *Designing Your Life.* New York: Alfred A. Knopf, 2016. The four life categories and concept of values alignment provide the foundation for life design."
505,2,1,3,0,content,note,,,,"2. Caligiuri, Paula. *Get a Life, Not a Job.* Upper Saddle River, NJ: FT Press, 2010."
506,2,1,3,0,content,instruction,,,,**Module 2.1 Complete**<br>Next: Module 2.2 - Reality
507,2,2,0,0,content,heading,,,,Module 2.2: Reality
508,2,2,0,0,content,heading,,,,Module Overview
509,2,2,0,0,content,instruction,,,,"**Focus:** Mindset development, action orientation, and reframing failure<br>**Purpose:** Develop the creator's mentality through the five designer mindsets and learn to transform obstacles into opportunities<br>**Estimated Time:** 1.5-2 hours + ongoing weekly practice<br>**Key Tools:** Failure Reframer<br>**Ongoing Practice:** Weekly failure reframing through Part 3"
510,2,2,0,0,content,instruction,,,,**Outputs:**
511,2,2,0,0,content,instruction,,,,- Mindset character profiles
512,2,2,0,0,content,instruction,,,,- Action plan with fear strategies
513,2,2,0,0,content,instruction,,,,- Growth opportunities log
514,2,2,0,0,content,heading,,,,Introduction
515,2,2,0,0,content,instruction,,,,"There are many things which are outside of our control in life. It is best if we let them be. Accept them as they are and work around them. This is not to say that we should not fight injustices or work to right the wrongs in the world. Quite the contrary, we should understand what cannot be changed so that we may be productive in our efforts to support our values."
516,2,2,0,0,content,instruction,,,,"For example, there is bias and discrimination in most hiring processes. While these issues do need to be addressed and rectified, we would be foolish to act as though they do not exist. Try not to assume the obstacles you will find, but be prepared for obstacles to appear, and be ready to overcome them."
517,2,2,0,0,content,heading,,,,Two Approaches to Finding Work
518,2,2,0,0,content,instruction,,,,There are two main approaches to finding the next job.
519,2,2,0,0,content,instruction,,,,"**The first** is the one you likely know: write your resume, find a job opening, apply to every position you can, wait in the dark, then (if you're super lucky) you might get an email initiating the interview process. There are a TON of reasons this doesn't work, but the important thing is, for all intents and purposes, **this doesn't work**.³"
520,2,2,0,0,content,instruction,,,,"**The second** one is the one that works: **networking**.³ We are not here to debate the ethics of this, only to share the reality of it. Most employers look inside their organization first, then they either target people they have found or already know, or they defer to people who are referred by trustworthy workers within the organization."
521,2,2,1,0,content,heading,,,,Exercise 2.2.1: Creator's Mentality
522,2,2,1,0,content,instruction,,,,**Purpose:** Internalize the five designer mindsets through character study and personal reflection.
523,2,2,1,0,content,instruction,,,,"Rather than waiting for the perfect job to fall into your lap, you are going to create your own opportunity. The best way to create opportunity is to have a plan and to live the five mindsets.¹"
